individual,plant,grain,fragment,insect,treatment,site,date,
SSS407,Grupo Carduus-Cirsium,20,A-leon,Oxysarcodexia varia,a,sc,Ene.11,
SSS400,Hirschfeldia incana,109,A-leon,Toxomerus sp.,a,sc,Ene.11,
SSS400,Grupo Carduus-Cirsium,1,A-leon,Toxomerus sp.,a,sc,Ene.11,
SSS454,Grupo Eryngium spp.,1054,C-v’as,Oxysarcodexia varia,c,sc,Ene.11,
SSS412,Hirschfeldia incana,60,A-leon,Allograpta exotica,a,sc,Ene.11,
SSS412,Grupo Carduus-Cirsium,1,A-leon,Allograpta exotica,a,sc,Ene.11,
SSS412,indeterminate,4,A-leon,Allograpta exotica,a,sc,Ene.11,
SSS412,Glycine max,5,A-leon,Allograpta exotica,a,sc,Ene.11,
SSS490,Grupo Carduus-Cirsium,1820,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS490,Chenopodeaceae,4,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS490,Hirschfeldia incana,3,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS490,Grupo Conium-Ammi,5,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS446,Grupo Eryngium spp.,45,C-v’as,Oxysarcodexia varia,c,sc,Ene.11,
SSS446,Grupo Carduus-Cirsium,1,C-v’as,Oxysarcodexia varia,c,sc,Ene.11,
SSS446,Glycine max,1,C-v’as,Oxysarcodexia varia,c,sc,Ene.11,
SSS446,indeterminate,2,C-v’as,Oxysarcodexia varia,c,sc,Ene.11,
SSS447,Grupo Eryngium spp.,136,C-v’as,Oxysarcodexia varia,c,sc,Ene.11,
SSS447,Grupo Carduus-Cirsium,3,C-v’as,Oxysarcodexia varia,c,sc,Ene.11,
SSS447,Solanum sp.,36,C-v’as,Oxysarcodexia varia,c,sc,Ene.11,
SSS476,Glycine max,2089,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS476,Grupo Carduus-Cirsium,25,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS476,Asteraceae,6,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS476,Chenopodeaceae,1,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS476,Grupo Conium-Ammi,2,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS476,Solanum sp.,5,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS476,indeterminate,2,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS455,Grupo Eryngium spp.,339,C-v’as,Oxysarcodexia varia,c,sc,Ene.11,
SSS455,Grupo Carduus-Cirsium,1,C-v’as,Oxysarcodexia varia,c,sc,Ene.11,
SSS402,Grupo Carduus-Cirsium,423,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS402,Glycine max,34,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS402,Hirschfeldia incana,60,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS402,Grupo Conium-Ammi,144,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS411,Hirschfeldia incana,53,A-leon,Allograpta exotica,a,sc,Ene.11,
SSS411,Grupo Conium-Ammi,3,A-leon,Allograpta exotica,a,sc,Ene.11,
SSS411,Glycine max,34,A-leon,Allograpta exotica,a,sc,Ene.11,
SSS451,Grupo Eryngium spp.,183,C-v’as,Oxysarcodexia varia,c,sc,Ene.11,
SSS401,Hirschfeldia incana,24,A-leon,Allograpta exotica,a,sc,Ene.11,
SSS401,Eucaliptus sp.,14,A-leon,Allograpta exotica,a,sc,Ene.11,
SSS401,Grupo Carduus-Cirsium,1,A-leon,Allograpta exotica,a,sc,Ene.11,
SSS401,Asteraceae,1,A-leon,Allograpta exotica,a,sc,Ene.11,
SSS401,Geranium sp.,1,A-leon,Allograpta exotica,a,sc,Ene.11,
SSS401,indeterminate,7,A-leon,Allograpta exotica,a,sc,Ene.11,
SSS475,Glycine max,2478,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS475,Grupo Carduus-Cirsium,20,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS479,Grupo Carduus-Cirsium,3975,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS489,Hirschfeldia incana,7,A-v’as,Dialictus sp.21,a,sc,Ene.11,
SSS489,Grupo Carduus-Cirsium,4,A-v’as,Dialictus sp.21,a,sc,Ene.11,
SSS489,Grupo Conium-Ammi,4,A-v’as,Dialictus sp.21,a,sc,Ene.11,
SSS489,indeterminate,1,A-v’as,Dialictus sp.21,a,sc,Ene.11,
SSS357,Glycine max,2,C-leon,Melissodes tintinnas,c,sc,Ene.11,
SSS357,Hirschfeldia incana,23,C-leon,Melissodes tintinnas,c,sc,Ene.11,
SSS357,Grupo Carduus-Cirsium,44,C-leon,Melissodes tintinnas,c,sc,Ene.11,
SSS477,Grupo Conium-Ammi,1,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS477,Glycine max,2202,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS477,Grupo Carduus-Cirsium,10,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS477,Trifolium sp.,1,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS477,Verbena sp.,16,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS456,Grupo Eryngium spp.,161,C-v’as,Pseudomops neglecta,c,sc,Ene.11,
SSS456,Grupo Lactuca-Sonchus,2,C-v’as,Pseudomops neglecta,c,sc,Ene.11,
SSS450,Grupo Eryngium spp.,403,C-v’as,Oxysarcodexia paulistanensis,c,sc,Ene.11,
SSS450,Solanum sp.,3,C-v’as,Oxysarcodexia paulistanensis,c,sc,Ene.11,
SSS406,Grupo Carduus-Cirsium,1154,A-leon,Dialictus sp.15,a,sc,Ene.11,
SSS406,Hirschfeldia incana,85,A-leon,Dialictus sp.15,a,sc,Ene.11,
SSS491,Grupo Carduus-Cirsium,30,A-v’as,Dialictus sp.11,a,sc,Ene.11,
SSS491,Hirschfeldia incana,145,A-v’as,Dialictus sp.11,a,sc,Ene.11,
SSS491,Grupo Conium-Ammi,1,A-v’as,Dialictus sp.11,a,sc,Ene.11,
SSS491,Glycine max,2,A-v’as,Dialictus sp.11,a,sc,Ene.11,
SSS408,Glycine max,1584,A-leon,Dialictus sp.21,a,sc,Ene.11,
SSS408,Hirschfeldia incana,220,A-leon,Dialictus sp.21,a,sc,Ene.11,
SSS358,Grupo Carduus-Cirsium,2717,C-leon,Pseudagapostemon pampeanus,c,sc,Ene.11,
SSS358,Glycine max,115,C-leon,Pseudagapostemon pampeanus,c,sc,Ene.11,
SSS480,Grupo Carduus-Cirsium,4343,A-v’as,Pseudagapostemon pampeanus,a,sc,Ene.11,
SSS480,Grupo Conium-Ammi,1,A-v’as,Pseudagapostemon pampeanus,a,sc,Ene.11,
SSS480,indeterminate,2,A-v’as,Pseudagapostemon pampeanus,a,sc,Ene.11,
SSS480,Glycine max,2,A-v’as,Pseudagapostemon pampeanus,a,sc,Ene.11,
SSS478,Grupo Carduus-Cirsium,1926,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS478,Girasol,4,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS478,Hirschfeldia incana,2,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS478,Grupo Conium-Ammi,2,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS478,Glycine max,2,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS478,Asteraceae,1,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS478,indeterminate,1,A-v’as,Apis mellifera,a,sc,Ene.11,
SSS409,Hirschfeldia incana,5354,A-leon,Dialictus sp.21,a,sc,Ene.11,
SSS409,Glycine max,2,A-leon,Dialictus sp.21,a,sc,Ene.11,
SSS409,Portulaca,1,A-leon,Dialictus sp.21,a,sc,Ene.11,
SSS409,Grupo Carduus-Cirsium,1,A-leon,Dialictus sp.21,a,sc,Ene.11,
SSS512,Glycine max,100,C-leon,Apis mellifera,c,sc,Feb.11,
SSS512,Girasol,3,C-leon,Apis mellifera,c,sc,Feb.11,
SSS512,Grupo Carduus-Cirsium,5224,C-leon,Apis mellifera,c,sc,Feb.11,
SSS512,Grupo Eryngium spp.,85,C-leon,Apis mellifera,c,sc,Feb.11,
SSS512,Grupo Baccharis spp.,41,C-leon,Apis mellifera,c,sc,Feb.11,
SSS512,Hirschfeldia incana,67,C-leon,Apis mellifera,c,sc,Feb.11,
SSS512,indeterminate,1,C-leon,Apis mellifera,c,sc,Feb.11,
SSS512,indeterminate,1,C-leon,Apis mellifera,c,sc,Feb.11,
SSS651,Grupo Carduus-Cirsium,5239,C-leon,Apis mellifera,c,sc,Feb.11,
SSS651,Asteraceae,8,C-leon,Apis mellifera,c,sc,Feb.11,
SSS651,Glycine max,3,C-leon,Apis mellifera,c,sc,Feb.11,
SSS651,Hirschfeldia incana,5,C-leon,Apis mellifera,c,sc,Feb.11,
SSS651,Grupo Eryngium spp.,10,C-leon,Apis mellifera,c,sc,Feb.11,
SSS584,Grupo Carduus-Cirsium,2632,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS584,Grupo Eryngium spp.,10,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS584,Eucaliptus sp.,2,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS584,Conyza sp.,41,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS584,Asteraceae,1,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS633,Grupo Carduus-Cirsium,1107,C-leon,Apis mellifera,c,sc,Feb.11,
SSS633,Grupo Baccharis spp.,30,C-leon,Apis mellifera,c,sc,Feb.11,
SSS633,Hirschfeldia incana,6,C-leon,Apis mellifera,c,sc,Feb.11,
SSS633,Glycine max,6,C-leon,Apis mellifera,c,sc,Feb.11,
SSS633,indeterminate,2,C-leon,Apis mellifera,c,sc,Feb.11,
SSS633,Grupo Eryngium spp.,28,C-leon,Apis mellifera,c,sc,Feb.11,
SSS639,Grupo Carduus-Cirsium,1244,C-leon,Apis mellifera,c,sc,Feb.11,
SSS639,Grupo Eryngium spp.,10,C-leon,Apis mellifera,c,sc,Feb.11,
SSS639,Hirschfeldia incana,4,C-leon,Apis mellifera,c,sc,Feb.11,
SSS639,Grupo Baccharis spp.,28,C-leon,Apis mellifera,c,sc,Feb.11,
SSS509,Grupo Eryngium spp.,516,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS509,Grupo Baccharis spp.,24,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS509,Hirschfeldia incana,2,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS509,Grupo Carduus-Cirsium,21,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS509,indeterminate,2,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS509,Grupo Conium-Ammi,16,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS509,Eucaliptus sp.,1,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS635,Poaceae,9,C-leon,Coleoptera sp8,c,sc,Feb.11,
SSS635,Grupo Carduus-Cirsium,12,C-leon,Coleoptera sp8,c,sc,Feb.11,
SSS635,Hirschfeldia incana,2,C-leon,Coleoptera sp8,c,sc,Feb.11,
SSS635,Conyza sp.,29,C-leon,Coleoptera sp8,c,sc,Feb.11,
SSS635,Grupo Baccharis spp.,29,C-leon,Coleoptera sp8,c,sc,Feb.11,
SSS635,Grupo Eryngium spp.,2,C-leon,Coleoptera sp8,c,sc,Feb.11,
SSS635,Girasol,1,C-leon,Coleoptera sp8,c,sc,Feb.11,
SSS635,indeterminate,1,C-leon,Coleoptera sp8,c,sc,Feb.11,
SSS635,indeterminate,1,C-leon,Coleoptera sp8,c,sc,Feb.11,
SSS635,Geranium sp.,1,C-leon,Coleoptera sp8,c,sc,Feb.11,
SSS578,Grupo Carduus-Cirsium,333,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS578,Glycine max,1,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS578,Conyza sp.,3,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS578,Grupo Eryngium spp.,15,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS578,Grupo Conium-Ammi,12,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS503,Grupo Carduus-Cirsium,137,C-leon,Chauliognathus scriptus,c,sc,Feb.11,
SSS503,Grupo Baccharis spp.,62,C-leon,Chauliognathus scriptus,c,sc,Feb.11,
SSS503,Conyza sp.,3,C-leon,Chauliognathus scriptus,c,sc,Feb.11,
SSS503,Grupo Eryngium spp.,24,C-leon,Chauliognathus scriptus,c,sc,Feb.11,
SSS503,Hirschfeldia incana,3,C-leon,Chauliognathus scriptus,c,sc,Feb.11,
SSS503,Grupo Lactuca-Sonchus,1,C-leon,Chauliognathus scriptus,c,sc,Feb.11,
SSS503,Glycine max,3,C-leon,Chauliognathus scriptus,c,sc,Feb.11,
SSS505,Grupo Carduus-Cirsium,517,C-leon,Chauliognathus scriptus,c,sc,Feb.11,
SSS505,Grupo Eryngium spp.,23,C-leon,Chauliognathus scriptus,c,sc,Feb.11,
SSS505,Hirschfeldia incana,20,C-leon,Chauliognathus scriptus,c,sc,Feb.11,
SSS505,Grupo Baccharis spp.,147,C-leon,Chauliognathus scriptus,c,sc,Feb.11,
SSS505,Geranium sp.,1,C-leon,Chauliognathus scriptus,c,sc,Feb.11,
SSS505,Conyza sp.,1,C-leon,Chauliognathus scriptus,c,sc,Feb.11,
SSS505,Verbena sp.,3,C-leon,Chauliognathus scriptus,c,sc,Feb.11,
SSS505,Glycine max,2,C-leon,Chauliognathus scriptus,c,sc,Feb.11,
SSS506,Hirschfeldia incana,7372,C-leon,Dialictus sp.17,c,sc,Feb.11,
SSS506,Grupo Carduus-Cirsium,20,C-leon,Dialictus sp.17,c,sc,Feb.11,
SSS506,Grupo Baccharis spp.,1,C-leon,Dialictus sp.17,c,sc,Feb.11,
SSS506,Grupo Eryngium spp.,1,C-leon,Dialictus sp.17,c,sc,Feb.11,
SSS660,Grupo Eryngium spp.,3129,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS660,Grupo Carduus-Cirsium,4,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS663,Grupo Eryngium spp.,1808,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS663,Grupo Baccharis spp.,6,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS663,Eucaliptus sp.,1,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS663,Chenopodeaceae,4,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS579,Grupo Carduus-Cirsium,2,A-v’as,Chrysomelidae sp1,a,sc,Feb.11,
SSS576,Grupo Carduus-Cirsium,227,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS576,Glycine max,117,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS576,Grupo Conium-Ammi,24,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS576,Conyza sp.,8,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS504,Grupo Carduus-Cirsium,3574,C-leon,Dialictus sp.20,c,sc,Feb.11,
SSS504,Grupo Eryngium spp.,9,C-leon,Dialictus sp.20,c,sc,Feb.11,
SSS504,Conyza sp.,5,C-leon,Dialictus sp.20,c,sc,Feb.11,
SSS504,Grupo Baccharis spp.,19,C-leon,Dialictus sp.20,c,sc,Feb.11,
SSS504,Hirschfeldia incana,6,C-leon,Dialictus sp.20,c,sc,Feb.11,
SSS504,indeterminate,2,C-leon,Dialictus sp.20,c,sc,Feb.11,
SSS659,Grupo Eryngium spp.,3784,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS659,Grupo Carduus-Cirsium,9,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS659,Grupo Baccharis spp.,4,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS659,Conyza sp.,2,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS659,Hirschfeldia incana,1,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS656,Grupo Eryngium spp.,44,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS656,Grupo Carduus-Cirsium,4,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS656,Grupo Baccharis spp.,3,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS656,Conyza sp.,5,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS656,indeterminate,1,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS574,Grupo Carduus-Cirsium,1809,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS574,Grupo Eryngium spp.,6,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS574,Grupo Baccharis spp.,2,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS574,Poaceae,3,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS574,Conyza sp.,5,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS574,Glycine max,1,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS572,Grupo Carduus-Cirsium,1131,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS572,Glycine max,3,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS572,Conyza sp.,11,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS572,indeterminate,3,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS572,Grupo Eryngium spp.,3,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS657,Grupo Eryngium spp.,1562,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS657,Grupo Carduus-Cirsium,21,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS657,Conyza sp.,3,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS569,Grupo Conium-Ammi,1081,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS569,Grupo Carduus-Cirsium,433,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS569,Grupo Baccharis spp.,2,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS569,Conyza sp.,6,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS569,indeterminate,1,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS569,Hirschfeldia incana,1,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS582,Grupo Carduus-Cirsium,475,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS582,Girasol,1,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS582,Conyza sp.,7,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS582,Grupo Baccharis spp.,1,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS582,Eucaliptus sp.,1,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS582,Grupo Eryngium spp.,171,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS575,Grupo Carduus-Cirsium,609,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS575,Glycine max,2,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS575,Grupo Baccharis spp.,1,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS575,Conyza sp.,4,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS575,Grupo Conium-Ammi,14,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS577,Grupo Carduus-Cirsium,402,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS577,Glycine max,2,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS577,Grupo Conium-Ammi,3,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS577,Conyza sp.,3,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS577,Hirschfeldia incana,1,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS581,Grupo Carduus-Cirsium,555,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS581,Grupo Conium-Ammi,194,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS581,Conyza sp.,3,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS581,Grupo Baccharis spp.,3,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS571,Grupo Carduus-Cirsium,456,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS571,Grupo Conium-Ammi,298,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS571,Conyza sp.,7,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS571,Grupo Crepis-Hypochoeris,11,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS573,Grupo Carduus-Cirsium,334,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS573,Glycine max,2,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS573,Grupo Conium-Ammi,14,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS573,Conyza sp.,6,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS573,Chenopodeaceae,1,A-v’as,Chauliognathus scriptus,a,sc,Feb.11,
SSS655,Grupo Eryngium spp.,25,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS655,Grupo Carduus-Cirsium,9,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS655,Grupo Baccharis spp.,5,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS655,Conyza sp.,4,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS580,Grupo Carduus-Cirsium,1,A-v’as,Chrysomelidae sp3,a,sc,Feb.11,
SSS580,Capsela-bursapastoris,1,A-v’as,Chrysomelidae sp3,a,sc,Feb.11,
SSS665,Grupo Eryngium spp.,175,C-leon,Blaesoxipha (Tephromyia) sp.1 ,c,sc,Feb.11,
SSS665,Grupo Baccharis spp.,70,C-leon,Blaesoxipha (Tephromyia) sp.1 ,c,sc,Feb.11,
SSS665,Grupo Carduus-Cirsium,2,C-leon,Blaesoxipha (Tephromyia) sp.1 ,c,sc,Feb.11,
SSS665,Chenopodeaceae,6,C-leon,Blaesoxipha (Tephromyia) sp.1 ,c,sc,Feb.11,
SSS684,Grupo Carduus-Cirsium,2,A-leon,Coleas lesbia,a,sc,Feb.11,
SSS684,Asteraceae,1,A-leon,Coleas lesbia,a,sc,Feb.11,
SSS684,Chenopodeaceae,2,A-leon,Coleas lesbia,a,sc,Feb.11,
SSS640,Grupo Carduus-Cirsium,1910,C-leon,Apis mellifera,c,sc,Feb.11,
SSS640,Conyza sp.,5,C-leon,Apis mellifera,c,sc,Feb.11,
SSS640,Grupo Baccharis spp.,6,C-leon,Apis mellifera,c,sc,Feb.11,
SSS640,Grupo Eryngium spp.,12,C-leon,Apis mellifera,c,sc,Feb.11,
SSS640,Hirschfeldia incana,1,C-leon,Apis mellifera,c,sc,Feb.11,
SSS640,Eucaliptus sp.,1,C-leon,Apis mellifera,c,sc,Feb.11,
SSS640,Geranium sp.,1,C-leon,Apis mellifera,c,sc,Feb.11,
SSS586,Grupo Carduus-Cirsium,2977,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS586,Hirschfeldia incana,13,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS586,indeterminate,1,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS586,Conyza sp.,10,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS586,Grupo Baccharis spp.,2,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS586,Geranium sp.,1,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS586,Grupo Eryngium spp.,2,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS510,Grupo Eryngium spp.,4495,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS510,Grupo Baccharis spp.,28,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS510,Conyza sp.,5,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS510,Grupo Carduus-Cirsium,8,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS510,Hirschfeldia incana,4,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS585,Grupo Carduus-Cirsium,11558,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS585,Chenopodeaceae,16,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS585,Glycine max,2,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS585,Grupo Crepis-Hypochoeris,5,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS585,Grupo Eryngium spp.,7,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS585,Asteraceae,4,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS585,Grupo Baccharis spp.,5,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS585,Conyza sp.,4,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS585,Hirschfeldia incana,1,A-v’as,Apis mellifera,a,sc,Feb.11,
SSS508,Hirschfeldia incana,5152,C-leon,Dialictus sp.21,c,sc,Feb.11,
SSS508,Grupo Carduus-Cirsium,218,C-leon,Dialictus sp.21,c,sc,Feb.11,
SSS508,Grupo Baccharis spp.,1,C-leon,Dialictus sp.21,c,sc,Feb.11,
SSS508,Grupo Eryngium spp.,4,C-leon,Dialictus sp.21,c,sc,Feb.11,
SSS511,Conyza sp.,4,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS511,Grupo Baccharis spp.,45,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS511,Grupo Carduus-Cirsium,2,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS511,Grupo Eryngium spp.,4,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS511,Hirschfeldia incana,5,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS511,indeterminate,1,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS643,Grupo Carduus-Cirsium,4,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS643,Geranium sp.,1,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS643,indeterminate,1,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS654,Grupo Eryngium spp.,13,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS654,Poaceae,5,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS654,Conyza sp.,8,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS654,Grupo Carduus-Cirsium,4,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS654,Grupo Baccharis spp.,5,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS654,Hirschfeldia incana,1,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS654,Grupo Lactuca-Sonchus,6,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS661,Grupo Eryngium spp.,1700,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS661,Grupo Carduus-Cirsium,4,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS661,Grupo Baccharis spp.,2,C-leon,Lampyridae sp2,c,sc,Feb.11,
SSS507,Grupo Eryngium spp.,112,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS507,Hirschfeldia incana,15,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS507,Grupo Carduus-Cirsium,23,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS507,Grupo Baccharis spp.,32,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS674,Grupo Baccharis spp.,96,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS674,Grupo Carduus-Cirsium,7,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS674,Grupo Eryngium spp.,7,C-leon,Oxysarcodexia varia,c,sc,Feb.11,
SSS653,Grupo Eryngium spp.,386,C-leon,Lampyridae sp2,c,sc,Feb.11,
